N534@node2 node2 node3 79950 81115.64470005 1165.6447000504
N346@node2 node2 node3 51750 53613.684400082 1863.6844000816
N502@node2 node2 node3 75150 76931.568500042 1781.568500042
N374@node2 node2 node3 55950 58063.848500013 2113.8485000134
N324@node2 node2 node3 48450 49626.305599928 1176.3055999279
N64@node2 node2 node3 9450 10686.760999918 1236.760999918
N136@node2 node2 node3 20250 21516.324199915 1266.3241999149
N60@node2 node2 node3 8850 10544.86680007 1694.8668000698
N364@node2 node2 node3 54450 56444.050699949 1994.0506999493
N96@node2 node2 node3 14250 16447.117899895 2197.1178998947
N140@node2 node2 node3 20850 22052.190000057 1202.1900000572
N262@node2 node2 node3 39150 41139.369899988 1989.3698999882
N222@node2 node2 node3 33150 34597.62319994 1447.6231999397
N452@node2 node2 node3 67650 68934.255300045 1284.255300045
N204@node2 node2 node3 30450 31990.086699963 1540.0866999626
N212@node2 node2 node3 31650 33095.993700027 1445.9937000275
N244@node2 node2 node3 36450 37508.59559989 1058.5955998898
N234@node2 node2 node3 34950 37002.940299988 2052.9402999878
N442@node2 node2 node3 66150 67431.644500017 1281.6445000172
N474@node2 node2 node3 70950 72230.636100054 1280.6361000538
N402@node2 node2 node3 60150 61450.80189991 1300.80189991
N54@node2 node2 node3 7950 9563.1217000484 1613.1217000484
N424@node2 node2 node3 63450 64448.924400091 998.92440009117
N90@node2 node2 node3 13350 14749.217499971 1399.2174999714
N464@node2 node2 node3 69450 70266.380000114 816.38000011444
N86@node2 node2 node3 12750 14343.903000116 1593.9030001163
N162@node2 node2 node3 24150 25239.660700083 1089.6607000828
N314@node2 node2 node3 46950 48245.60649991 1295.6064999104
N522@node2 node2 node3 78150 79421.969300032 1271.9693000317
N154@node2 node2 node3 22950 24693.288899899 1743.2888998985
N82@node2 node2 node3 12150 13443.78309989 1293.7830998898
N210@node2 node2 node3 31350 32496.71510005 1146.71510005
N352@node2 node2 node3 52650 53613.361599922 963.36159992218
N512@node2 node2 node3 76650 78426.707400084 1776.7074000835
N538@node2 node2 node3 80550 81715.361200094 1165.3612000942
N146@node2 node2 node3 21750 23536.132999897 1786.132999897
N88@node2 node2 node3 13050 14749.206199884 1699.2061998844
N302@node2 node2 node3 45150 47232.795799971 2082.7957999706
N230@node2 node2 node3 34350 35701.969799995 1351.9697999954
N524@node2 node2 node3 78450 79624.147200108 1174.1472001076
N44@node2 node2 node3 6450 7996.9326999187 1546.9326999187
N414@node2 node2 node3 61950 63601.340600014 1651.3406000137
N318@node2 node2 node3 47550 49425.913100004 1875.9131000042
N76@node2 node2 node3 11250 12648.299099922 1398.2990999222
N72@node2 node2 node3 10650 12648.412800074 1998.4128000736
